Id,DistrictId,Rooms,Square,LifeSquare,KitchenSquare,Floor,HouseFloor,HouseYear,Ecology_1,Ecology_2,Ecology_3,Social_1,Social_2,Social_3,Healthcare_1,Helthcare_2,Shops_1,Shops_2
4567,44,1,36.84763006,19.09418248,5,5,9,1970,0.036122292,B,B,24,4378,0,1036.0,1,1,B
5925,62,1,42.49390721,42.5681326,10,7,17,2017,0.072157581,B,B,2,629,1,1152.6307692307691,0,0,A
960,27,2,59.46367829,36.407049064837906,9,19,19,1977,0.211401214,B,B,9,1892,0,1152.6307692307691,0,1,B
3848,23,3,49.64602983,33.89382537,6,2,2,1965,0.014072961,B,B,2,475,0,1152.6307692307691,0,0,B
746,74,1,53.83705552,36.407049064837906,1,8,17,1977,0.309479124,B,B,35,7715,4,990.0,0,6,B
868,38,3,87.13999445,53.18041881,10,4,23,2011,0.060753049,B,B,15,2787,2,520.0,0,7,B
672,62,1,46.26945563,22.82023937,11,8,17,2014,0.072157581,B,B,2,629,1,1152.6307692307691,0,0,A
2471,2,2,48.17296871,29.92420442,6,4,9,1974,0.0,B,B,33,7425,1,1152.6307692307691,2,5,B
4510,1,1,43.15376114,21.01759554,9,10,17,2014,0.007122317,B,B,1,264,0,1152.6307692307691,0,1,B
8354,62,2,62.59378664,59.78684445,10,1,16,1981,0.002211665,B,B,39,7614,3,1152.6307692307691,1,5,A
6393,8,1,41.49650853,21.66420919,7,4,17,2009,0.43788524,B,B,23,5735,3,1084.0,0,5,B
13270,9,3,80.59947152,36.407049064837906,1,4,1,1977,0.161531741,B,B,25,5648,1,30.0,2,4,B
5250,96,4,87.77638168,54.62053999,10,25,24,2014,0.041116354,B,B,53,14892,4,1152.6307692307691,1,4,B
16751,74,1,54.61416994,36.407049064837906,1,8,17,1977,0.075778755,B,B,6,1437,3,1152.6307692307691,0,2,B
11404,27,1,44.41551018,36.407049064837906,1,14,1,1977,0.072157581,B,B,2,629,1,1152.6307692307691,0,0,A
10588,113,2,71.82875389,35.7141914,10,6,22,2004,0.050755569,B,B,24,5469,1,145.0,0,1,B
14925,22,2,61.41358311,36.407049064837906,1,13,17,1977,0.118537385,B,B,30,6207,1,1183.0,1,0,B
6791,1,3,72.02327542,2.470855692,1,4,24,1977,0.007122317,B,B,1,264,0,1152.6307692307691,0,1,B
16097,57,1,44.32379622,19.87648471,12,4,16,2007,0.133215333,B,B,49,11395,3,1406.0,3,4,A
16428,170,3,77.02879054,47.07690067,10,13,17,1990,0.21843974,B,B,21,4472,6,1450.0,4,7,A
6945,53,3,85.18661187,36.407049064837906,11,11,12,2017,0.049637257,B,B,34,7759,0,229.0,1,3,B
3190,9,2,64.86239597,36.407049064837906,1,7,1,1977,0.161531741,B,B,25,5648,1,30.0,2,4,B
15709,48,3,86.4899347,86.16502319,1,24,1,2015,0.041124634,B,B,46,9515,5,1152.6307692307691,1,10,B
13155,41,2,48.44071465,32.13878071,6,4,9,1979,0.394094211,B,B,3,662,0,35.0,0,0,B
7675,47,2,47.09561396,31.20299196,8,10,12,1970,0.298204575,B,B,16,4048,3,1152.6307692307691,1,3,B
14686,1,3,77.22988534,79.95868473,1,18,17,1977,0.007122317,B,B,1,264,0,1152.6307692307691,0,1,B
609,9,2,43.25585383,30.80462713,5,6,5,1972,0.161531741,B,B,25,5648,1,30.0,2,4,B
11155,150,2,43.56992446,30.14051538,5,4,5,1965,0.08761909,B,B,8,1497,5,1152.6307692307691,1,0,B
10869,23,3,78.00188787,82.56632218,1,21,25,2015,0.075778755,B,B,6,1437,3,1152.6307692307691,0,2,B
15742,30,2,64.88878322,36.407049064837906,1,12,17,1977,7.82e-05,B,B,22,6398,141,1046.0,3,23,B
9245,1,2,63.11504097,36.407049064837906,0,4,24,1977,0.007122317,B,B,1,264,0,1152.6307692307691,0,1,B
3340,27,3,69.92193905,3.98605252,1,9,17,1977,0.211401214,B,B,9,1892,0,1152.6307692307691,0,1,B
2359,53,2,60.73449831,42.79356085,10,17,24,2020,0.049637257,B,B,34,7759,0,229.0,1,3,B
8070,38,2,40.21693121,26.78243488,7,8,9,1964,0.060753049,B,B,15,2787,2,520.0,0,7,B
13707,1,1,42.4468826,19.84667485,7,2,17,2015,0.007122317,B,B,1,264,0,1152.6307692307691,0,1,B
16079,11,4,70.46994055,44.73090602,6,6,9,1970,0.000169676,B,B,36,5992,0,1152.6307692307691,1,1,B
15937,9,4,92.15825171,54.16861589,12,4,14,1997,0.161531741,B,B,25,5648,1,30.0,2,4,B
14090,2,1,39.08264064,33.21435769,7,10,14,1970,0.0,B,B,33,7425,1,1152.6307692307691,2,5,B
9008,72,2,47.67098553,44.17245036,5,5,9,1980,0.210473241,B,B,11,2398,2,1994.0,3,0,B
16384,1,2,52.77367106,52.91072182,10,6,17,2017,0.007122317,B,B,1,264,0,1152.6307692307691,0,1,B
11657,87,3,65.75474956,48.4490025,6,12,12,1980,0.100455735,B,B,43,7227,0,1152.6307692307691,1,6,A
13151,25,1,29.24910778,36.407049064837906,0,22,25,2016,0.069753361,B,B,53,13670,4,1152.6307692307691,1,11,B
8990,27,3,58.84818819,40.41200607,6,11,9,1988,0.211401214,B,B,9,1892,0,1152.6307692307691,0,1,B
11857,11,2,46.58921952,31.05090246,5,5,5,1968,0.000169676,B,B,36,5992,0,1152.6307692307691,1,1,B
1565,52,1,38.92815373,20.33759796,8,4,17,1994,0.371148999,B,B,34,7065,1,750.0,2,5,B
8174,23,1,46.88683597,36.407049064837906,0,3,3,2016,0.034656082,B,B,0,168,0,1152.6307692307691,0,0,B
9247,67,3,65.01964675,41.28747635,7,10,9,1979,0.100455735,B,B,43,7227,0,1152.6307692307691,1,6,A
10478,6,3,80.98610421,77.53481113,1,10,1,2013,0.243204519,B,B,5,1564,0,540.0,0,0,B
15509,27,2,55.43986119,57.52724313,10,15,17,2016,0.011654127,B,B,4,915,0,1152.6307692307691,0,0,B
8306,179,2,45.59750743,32.1300451,5,6,5,1967,0.037316452,B,B,32,6748,93,562.0,4,10,B
6642,1,2,56.89047834,36.407049064837906,1,12,17,1977,0.007122317,B,B,1,264,0,1152.6307692307691,0,1,B
7472,31,2,44.2795414,29.60419375,5,7,5,1960,0.151346216,B,A,32,5889,10,830.0,4,1,B
15989,62,1,47.0954055,36.407049064837906,0,4,0,1977,0.072157581,B,B,2,629,1,1152.6307692307691,0,0,A
13682,27,1,41.34565024,17.38476845,8,14,14,2007,0.07542368,B,B,11,3097,0,1152.6307692307691,0,0,B
7076,27,2,76.73464351,36.407049064837906,1,3,1,1977,0.072157581,B,B,2,629,1,1152.6307692307691,0,0,A
7478,167,3,67.68259885,43.62235898,4,4,4,1949,0.174739084,B,B,17,3379,9,100.0,0,3,B
3029,13,1,43.5735763,22.2211309,8,11,18,2000,0.090799103,B,B,74,19083,2,1152.6307692307691,5,15,B
1814,1,1,41.11560894,41.17146392,0,4,17,1977,0.007122317,B,B,1,264,0,1152.6307692307691,0,1,B
10057,27,1,42.91684587,21.09389112,6,10,15,2018,0.072157581,B,B,2,629,1,1152.6307692307691,0,0,A
15100,23,3,78.98223924,36.407049064837906,1,4,25,1977,0.075778755,B,B,6,1437,3,1152.6307692307691,0,2,B
12694,27,3,83.67003175,46.35835603,0,8,0,2015,0.072157581,B,B,2,629,1,1152.6307692307691,0,0,A
